[ 2025-11-30 13:52:10,705 ] 164 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-11-30 13:52:14,483 ] 16 root - INFO - Initiate the data ingestion
[ 2025-11-30 13:52:41,396 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-30 13:52:41,396 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-30 13:52:41,397 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-30 13:52:41,501 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-30 13:52:41,502 ] 18 root - INFO - Data Initiation Completed
[ 2025-11-30 13:52:41,513 ] 22 root - INFO - Initiate the data Validation
[ 2025-11-30 13:52:41,553 ] 32 root - INFO - Required number of columns:2
[ 2025-11-30 13:52:41,553 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-30 13:52:41,553 ] 32 root - INFO - Required number of columns:2
[ 2025-11-30 13:52:41,553 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-30 13:52:41,825 ] 24 root - INFO - data Validation Completed
[ 2025-11-30 13:52:41,826 ] 27 root - INFO - data Transformation started
[ 2025-11-30 13:52:41,826 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-30 13:52:41,826 ] 65 root - INFO - Starting data transformation
[ 2025-11-30 13:52:41,872 ] 48 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-11-30 13:52:41,872 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-30 13:52:41,901 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-30 13:52:41,908 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-30 13:52:41,908 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-30 13:52:41,914 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-30 13:52:41,917 ] 31 root - INFO - data Transformation completed
